family,instrument,band_index,dynamic,energy_provenance,energy_w_bloom,energy_w_buildup,energy_w_decay,energy_w_residue,energy_w_shimmer,energy_w_strike,f_c_hz,f_centre_hz,f_hi_hz,f_lo_hz,fill_fraction,modes_per_band,notes,ref_distance_m,spl_db_decay,spl_db_strike,stroke,t_contact_provenance,t_contact_s
plate,cymbal_16in_thin,0,,internal_default,,0.0009239367814937024,,0.08744098191844814,0.010973826729471227,0.0011436656037033094,,31.070005997851133,48.26726363532532,19.999999999999982,0.9,1.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,1,,internal_default,,0.0009216252506068908,,0.0777177343164511,0.010631620618068282,0.001143328613389129,,62.04115804080137,79.74567027716589,48.26726363532532,0.9,1.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,2,,internal_default,,0.0,,0.0,0.0,0.0,,95.6807360113951,114.80000371009025,79.74567027716589,0.9,0.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,3,,internal_default,,0.0018338825936746316,,0.122297293073991,0.01993625806427942,0.002285286925182145,,132.8925478326256,153.83648692246896,114.80000371009025,0.9,2.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,4,,internal_default,,0.0,,0.0,0.0,0.0,,174.22138513818598,197.30748957342993,153.83648692246896,0.9,0.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,5,,internal_default,,0.0018234681628207328,,0.09354578318500772,0.018550820692922607,0.002283756273306647,,220.18573768342424,245.71677022503872,197.30748957342993,0.9,2.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,6,,internal_default,,0.0027265727109452966,,0.1209299231295826,0.026736099954181965,0.00342436112549081,,271.33552007714667,299.62531408868983,245.71677022503872,0.9,3.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,7,,internal_default,,0.0,,0.0,0.0,0.0,,328.2721301869142,359.65783393574134,299.62531408868983,0.9,0.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,8,,internal_default,,0.002707308147583655,,0.08661924057960935,0.024442808765739704,0.003421505635375407,,391.6601411572962,426.51000950742576,359.65783393574134,0.9,3.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,9,,internal_default,,0.0035953758462270295,,0.09571713367303113,0.03098637474529272,0.004559866077386811,,462.2369334140603,500.9565493170786,426.51000950742576,0.9,4.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,10,,internal_default,,0.0035798963716408057,,0.07806973364825852,0.029335361758046543,0.00455754347582722,,540.822128965883,583.8601682679283,500.9565493170786,0.9,4.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,11,,internal_default,,0.0,,0.0,0.0,0.0,,628.3275372521083,676.1815851225036,583.8601682679283,0.9,0.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,12,,internal_default,,0.004432995157728509,,0.061465651712932716,0.032398887327982615,0.005690349384575711,,725.7679631618286,778.9906556781491,676.1815851225036,0.9,5.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_16in_thin,13,,internal_default,,0.004413678582755985,,0.04729009181394511,0.030231007040300652,0.005686620899662449,,834.2731048009164,893.4787706641346,778.9906556781491,0.9,5.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
