family,instrument,band_index,energy_w_bloom,energy_w_bloom_p05,energy_w_bloom_p25,energy_w_bloom_p50,energy_w_bloom_p75,energy_w_bloom_p95,energy_w_buildup,energy_w_buildup_p05,energy_w_buildup_p25,energy_w_buildup_p50,energy_w_buildup_p75,energy_w_buildup_p95,energy_w_decay,energy_w_decay_p05,energy_w_decay_p25,energy_w_decay_p50,energy_w_decay_p75,energy_w_decay_p95,energy_w_residue,energy_w_residue_p05,energy_w_residue_p25,energy_w_residue_p50,energy_w_residue_p75,energy_w_residue_p95,energy_w_shimmer,energy_w_shimmer_p05,energy_w_shimmer_p25,energy_w_shimmer_p50,energy_w_shimmer_p75,energy_w_shimmer_p95,energy_w_strike,energy_w_strike_p05,energy_w_strike_p25,energy_w_strike_p50,energy_w_strike_p75,energy_w_strike_p95,f_centre_hz,f_hi_hz,f_lo_hz,mc_n_draws,mc_seed,modes_per_band,modes_per_band_p05,modes_per_band_p25,modes_per_band_p50,modes_per_band_p75,modes_per_band_p95
plate,cymbal_16in_thin,0,,,,,,,0.0008164545572814089,0.0006274427273206052,0.0007228478458499434,0.0008164545572814089,0.0009319443781046901,0.0011396639406651024,,,,,,,0.05929923865659088,0.031896514675973334,0.04543475246199552,0.05929923865659088,0.07689030922727506,0.10921387648602059,0.007377668444776605,0.002989425251789166,0.0051259702190391,0.007377668444776605,0.010829297140471893,0.019353026705816154,0.0010515816345367892,0.0008545257117094573,0.0009450439462174736,0.0010515816345367892,0.001137631853159102,0.0012960302125629016,31.070005997851133,48.26726363532532,19.999999999999982,400,20260803,1.0,1.0,1.0,1.0,1.0,1.0
plate,cymbal_16in_thin,1,,,,,,,0.0007913187109969519,0.0,0.0006932312899368265,0.0007913187109969519,0.0008920122330022213,0.0011337631274765604,,,,,,,0.048838139674684505,0.0,0.037483888135325,0.048838139674684505,0.06278242236137,0.0840874485157255,0.006525615847728995,0.0,0.004247142526837872,0.006525615847728995,0.009748168110789228,0.01696542048739079,0.0010249211889237647,0.0,0.0009263857228987908,0.0010249211889237647,0.0011238170387665976,0.0012866216867633365,62.04115804080137,79.74567027716589,48.26726363532532,400,20260803,1.0,0.0,1.0,1.0,1.0,1.0
plate,cymbal_16in_thin,2,,,,,,,0.001376210632485999,0.0,0.0,0.001376210632485999,0.0016340783284415979,0.0020573542792628355,,,,,,,0.06675362085541647,0.0,0.0,0.06675362085541647,0.08496049451162585,0.11176717627364277,0.008986055875287512,0.0,0.0,0.008986055875287512,0.015153747526889999,0.02504973005503596,0.0018193807689609915,0.0,0.0,0.0018193807689609915,0.0020885784981911322,0.0024150005269193173,95.6807360113951,114.80000371009025,79.74567027716589,400,20260803,2.0,0.0,0.0,2.0,2.0,2.0
plate,cymbal_16in_thin,3,,,,,,,0.0015745807321792863,0.0,0.001324245671258328,0.0015745807321792863,0.0018653837229690108,0.0025101089222655444,,,,,,,0.07477277334805862,0.0,0.053654623715895126,0.07477277334805862,0.105966244943752,0.13240613846305002,0.01197977080764988,0.0,0.006623023674834548,0.01197977080764988,0.018700319337010978,0.03347028097169229,0.0020427890837106193,0.0,0.001787635006645345,0.0020427890837106193,0.0022678549853400757,0.00269014969587515,132.8925478326256,153.83648692246896,114.80000371009025,400,20260803,2.0,0.0,2.0,2.0,2.0,2.0
plate,cymbal_16in_thin,4,,,,,,,0.0018029181363599322,0.0,0.0014582463390672984,0.0018029181363599322,0.0022855992841920325,0.0031404018454145284,,,,,,,0.0794806186515994,0.0,0.0637723886284287,0.0794806186515994,0.0941936819838851,0.1171888352527092,0.014017522703291856,0.0,0.007245286443215998,0.014017522703291856,0.02066462117541855,0.03555114929265513,0.002333350285397882,0.0,0.001907509948568462,0.002333350285397882,0.0029020222627887983,0.003584754022654185,174.22138513818598,197.30748957342993,153.83648692246896,400,20260803,2.0,0.0,2.0,2.0,3.0,3.0
plate,cymbal_16in_thin,5,,,,,,,0.002213064026500364,0.0,0.0017827296296326419,0.002213064026500364,0.002611176845224527,0.0036342804478159824,,,,,,,0.08130494569918725,0.0,0.062053078826448047,0.08130494569918725,0.09811740365550985,0.1315439557917498,0.015603781181816129,0.0,0.008688104168263409,0.015603781181816129,0.0237897703870268,0.04001864724270365,0.0029055613805458818,0.0,0.0022797017039904283,0.0029055613805458818,0.0033603849519530946,0.004406280290729064,220.18573768342424,245.71677022503872,197.30748957342993,400,20260803,3.0,0.0,2.0,3.0,3.0,4.0
plate,cymbal_16in_thin,6,,,,,,,0.0026135920098884413,0.0,0.0022077064994692327,0.0026135920098884413,0.003059079763508061,0.004163774363409593,,,,,,,0.08334321883288684,0.0,0.06972629756608913,0.08334321883288684,0.10052927130059261,0.13362365514272903,0.01860874229899891,0.0,0.011413979487817935,0.01860874229899891,0.02810655212142107,0.05054244830176961,0.003410207574378096,0.0,0.0029832269172897375,0.003410207574378096,0.0038599024918474743,0.004560238466599478,271.33552007714667,299.62531408868983,245.71677022503872,400,20260803,3.0,0.0,3.0,3.0,4.0,4.0
plate,cymbal_16in_thin,7,,,,,,,0.002878656789177326,0.0,0.0022473840921752894,0.002878656789177326,0.003404769101370004,0.004485410424670131,,,,,,,0.0779457089200293,0.0,0.06642884047126757,0.0779457089200293,0.08833913421141795,0.10326530744169915,0.01914407704628654,0.0,0.01050439795417895,0.01914407704628654,0.02877700083388738,0.043065218771207,0.0037365336589947167,0.0,0.0030643179369065814,0.0037365336589947167,0.004387143103836943,0.005240376986029646,328.2721301869142,359.65783393574134,299.62531408868983,400,20260803,4.0,0.0,3.0,4.0,4.0,5.0
plate,cymbal_16in_thin,8,,,,,,,0.003258451741268718,0.0,0.002781575886898423,0.003258451741268718,0.0038144571422551437,0.00648634941202059,,,,,,,0.0759438395368846,0.0,0.06652577862796849,0.0759438395368846,0.08675605668839789,0.1244680723779208,0.021893341078715614,0.0,0.013239233354873436,0.021893341078715614,0.033039825458282726,0.05337290016932523,0.004328087140077757,0.0,0.003658741092377002,0.004328087140077757,0.004881029156228451,0.008905329347336137,391.6601411572962,426.51000950742576,359.65783393574134,400,20260803,4.0,0.0,4.0,4.0,5.0,10.0
plate,cymbal_16in_thin,9,,,,,,,0.0037973423915189015,0.0,0.0031776204838953625,0.0037973423915189015,0.004453568546030531,0.008109715894384502,,,,,,,0.07318582048340849,0.0,0.0629916944045365,0.07318582048340849,0.08467055195673051,0.12375632544113216,0.025337599291986874,0.0,0.015757773713940257,0.025337599291986874,0.035945060202816216,0.06104776261558619,0.004842763228687233,0.0,0.004294621593601923,0.004842763228687233,0.005619080981481285,0.010664972407932771,462.2369334140603,500.9565493170786,426.51000950742576,400,20260803,5.0,0.0,4.0,5.0,5.0,11.049999999999955
plate,cymbal_16in_thin,10,,,,,,,0.003990906504454264,0.0,0.0032752119274677737,0.003990906504454264,0.004863989795007541,0.008770992357298328,,,,,,,0.06326294681928997,0.0,0.0545260122774827,0.06326294681928997,0.07285671546613617,0.11155152936295815,0.02423792628090937,0.0,0.01453791103080451,0.02423792628090937,0.03627308787737866,0.060436921593533956,0.005270320884054288,0.0,0.004431496099950865,0.005270320884054288,0.006097735548523487,0.011634729514468069,540.822128965883,583.8601682679283,500.9565493170786,400,20260803,5.0,0.0,4.0,5.0,6.0,12.0
plate,cymbal_16in_thin,11,,,,,,,0.00412827915583216,0.0,0.0036210903331339297,0.00412827915583216,0.005191192521715019,0.008655897121022138,,,,,,,0.057006230094620886,0.0,0.045430763629668414,0.057006230094620886,0.06700973038882647,0.08846246313563208,0.025613187919741445,0.0,0.01637799576685343,0.025613187919741445,0.03668497558548369,0.06248424173287505,0.005561728233462055,0.0,0.004833197328402636,0.005561728233462055,0.006546436799311592,0.011256337095906756,628.3275372521083,676.1815851225036,583.8601682679283,400,20260803,5.0,0.0,5.0,5.0,6.0,11.049999999999955
plate,cymbal_16in_thin,12,,,,,,,0.004620590099818869,0.0027511951480440303,0.003872187942168411,0.004620590099818869,0.0055489286769789216,0.008845461724230532,,,,,,,0.049418374217590905,0.02172033938984724,0.036602284500423354,0.049418374217590905,0.058567762566908904,0.07383647289569666,0.026469362389678567,0.008990738165351862,0.017275023791042753,0.026469362389678567,0.03800058494226989,0.06577825242733087,0.005949931926060545,0.003805976343657197,0.005225510522471134,0.005949931926060545,0.007005154548961238,0.011332357616662615,725.7679631618286,778.9906556781491,676.1815851225036,400,20260803,6.0,4.0,5.0,6.0,6.0,11.0
plate,cymbal_16in_thin,13,,,,,,,0.0046442130371044076,0.002411046443234283,0.0038617585906617607,0.0046442130371044076,0.005446172035772665,0.008316852053895244,,,,,,,0.03698885430523531,0.012977172915570809,0.024916050073558967,0.03698885430523531,0.04773915454296937,0.06025712217240368,0.023686349988768472,0.007718024947311766,0.015877689341941316,0.023686349988768472,0.03434526072042304,0.05873165780956255,0.006112618399783638,0.0033608974426947978,0.005304733458178917,0.006112618399783638,0.007072305658171982,0.010309563636037439,834.2731048009164,893.4787706641346,778.9906556781491,400,20260803,6.0,4.0,5.0,6.0,6.0,11.0
plate,cymbal_16in_thin,14,,,,,,,0.004414993588940598,0.0019464434259297383,0.0035227865534956243,0.004414993588940598,0.005431098660909734,0.007876087295872526,,,,,,,0.0265984337674973,0.007142196436308009,0.015498833950623268,0.0265984337674973,0.03765810183528473,0.051491364356180645,0.020582439896137575,0.004900905662538398,0.012973779978080663,0.020582439896137575,0.030353035448314504,0.05303999957122448,0.005934437063510222,0.002638330130998574,0.004810877975350503,0.005934437063510222,0.006907607390417502,0.00960437346032094,955.1007271246142,1020.9726620319176,893.4787706641346,400,20260803,6.0,3.0,5.0,6.0,6.0,9.0
plate,cymbal_16in_thin,15,,,,,,,0.003990139110280264,0.0018429981090891231,0.0030236958765335023,0.003990139110280264,0.005123995428566921,0.0072544147837674084,,,,,,,0.016792242966688763,0.004147368207931705,0.009880317547276052,0.016792242966688763,0.026760962337384293,0.04093720092907033,0.016895881163990226,0.005778537722173231,0.01115662419670344,0.016895881163990226,0.026415461576967773,0.04666985455670475,0.005426797656739342,0.002415718031879654,0.004055423998443181,0.005426797656739342,0.006684469081201067,0.009118418064458388,1089.651288384257,1162.94977763112,1020.9726620319176,400,20260803,5.0,3.0,4.0,5.0,6.0,8.0
plate,cymbal_16in_thin,16,,,,,,,0.003949598213569576,0.0013896670712523704,0.002803566910577029,0.003949598213569576,0.005620603714011277,0.008143858424525387,,,,,,,0.011815868476182479,0.002317759541592399,0.005617313177485782,0.011815868476182479,0.02057436159436909,0.032556391610459895,0.015970706837343054,0.004431288056572381,0.00981492470472941,0.015970706837343054,0.024898137580027492,0.03993070086628474,0.005213591602899522,0.00184679187629542,0.003602161409363767,0.005213591602899522,0.00676404342775368,0.011135641516803926,1239.484201797112,1321.055402438827,1162.94977763112,400,20260803,5.0,2.0,4.0,5.0,6.0,10.354590413578977
