instrument,note,midi,dynamic,run_number,global_seed_precondition,values_consumed_before_fit,evaluation_order,prediction,elapsed_s
violin,G3,55.0,pppp,1,0,0,canonical,54.228643265791575,0.09558660000038799
violin,G3,55.0,pppp,2,1,0,canonical,54.228643265791575,0.09637159999692813
violin,G3,55.0,pppp,3,42,0,canonical,54.228643265791575,0.09486230000038631
violin,G3,55.0,pppp,4,999,0,canonical,54.228643265791575,0.0949523000017507
violin,G3,55.0,pppp,5,0,1,canonical,54.228643265791575,0.09559130000707228
violin,G3,55.0,pppp,6,0,100,canonical,54.228643265791575,0.0951960000093095
violin,G3,55.0,pppp,7,0,10000,canonical,54.228643265791575,0.09365560000878759
violin,G3,55.0,ppp,8,0,0,canonical,55.80709474402191,0.09510239999508485
violin,G3,55.0,ppp,9,1,0,canonical,55.80709474402191,0.09252120000019204
violin,G3,55.0,ppp,10,42,0,canonical,55.80709474402191,0.10048139998980332
violin,G3,55.0,ppp,11,999,0,canonical,55.80709474402191,0.09385540000221226
violin,G3,55.0,ppp,12,0,1,canonical,55.80709474402191,0.0919895999977598
violin,G3,55.0,ppp,13,0,100,canonical,55.80709474402191,0.09174899999925401
violin,G3,55.0,ppp,14,0,10000,canonical,55.80709474402191,0.09340199999860488
violin,G3,55.0,pp,15,0,0,canonical,57.369453654655175,0.09316980000585318
violin,G3,55.0,pp,16,1,0,canonical,57.369453654655175,0.09554290000232868
violin,G3,55.0,pp,17,42,0,canonical,57.369453654655175,0.09381869999924675
violin,G3,55.0,pp,18,999,0,canonical,57.369453654655175,0.09320750000188127
violin,G3,55.0,pp,19,0,1,canonical,57.369453654655175,0.09331850000307895
violin,G3,55.0,pp,20,0,100,canonical,57.369453654655175,0.09402590000536293
violin,G3,55.0,pp,21,0,10000,canonical,57.369453654655175,0.09390829999756534
violin,G3,55.0,p,22,0,0,canonical,59.06981854728328,0.09357150000869296
violin,G3,55.0,p,23,1,0,canonical,59.06981854728328,0.09587240000837483
violin,G3,55.0,p,24,42,0,canonical,59.06981854728328,0.09589599999890197
violin,G3,55.0,p,25,999,0,canonical,59.06981854728328,0.09374799999932293
violin,G3,55.0,p,26,0,1,canonical,59.06981854728328,0.09774320000724401
violin,G3,55.0,p,27,0,100,canonical,59.06981854728328,0.09254959999816492
violin,G3,55.0,p,28,0,10000,canonical,59.06981854728328,0.09374060000118334
violin,G3,55.0,mp,29,0,0,canonical,60.21271949683516,0.09436000000278
violin,G3,55.0,mp,30,1,0,canonical,60.21271949683516,0.09389030000602361
violin,G3,55.0,mp,31,42,0,canonical,60.21271949683516,0.098151099999086
violin,G3,55.0,mp,32,999,0,canonical,60.21271949683516,0.09405279999191407
violin,G3,55.0,mp,33,0,1,canonical,60.21271949683516,0.09392929999739863
violin,G3,55.0,mp,34,0,100,canonical,60.21271949683516,0.09376699999847915
violin,G3,55.0,mp,35,0,10000,canonical,60.21271949683516,0.09314880000601988
violin,G3,55.0,mf,36,0,0,canonical,61.71226186184827,0.09528300000238232
violin,G3,55.0,mf,37,1,0,canonical,61.71226186184827,0.09317149998969398
violin,G3,55.0,mf,38,42,0,canonical,61.71226186184827,0.09519399999408051
violin,G3,55.0,mf,39,999,0,canonical,61.71226186184827,0.09279890000470914
violin,G3,55.0,mf,40,0,1,canonical,61.71226186184827,0.09237840000423603
violin,G3,55.0,mf,41,0,100,canonical,61.71226186184827,0.09325900000112597
violin,G3,55.0,mf,42,0,10000,canonical,61.71226186184827,0.09256710000045132
violin,G3,55.0,f,43,0,0,canonical,65.87778845038133,0.0944967999967048
violin,G3,55.0,f,44,1,0,canonical,65.87778845038133,0.0943422999989707
violin,G3,55.0,f,45,42,0,canonical,65.87778845038133,0.09439310000743717
violin,G3,55.0,f,46,999,0,canonical,65.87778845038133,0.09333090001018718
violin,G3,55.0,f,47,0,1,canonical,65.87778845038133,0.09308249999594409
violin,G3,55.0,f,48,0,100,canonical,65.87778845038133,0.09319040000264067
violin,G3,55.0,f,49,0,10000,canonical,65.87778845038133,0.09337109999614768
violin,G3,55.0,ff,50,0,0,canonical,70.5907421197404,0.09345229998871218
