instrument_id,display_name,module_name,table_backed,source_table_first,source_table_last,source_table_row_count,instrument_source_pitch_range,registry_sounding_min,registry_sounding_max,registry_comfortable_min,registry_comfortable_max,registry_transposition,source_technique,table_supported_techniques,registry_supported_techniques,range_classification,technique_classification,table_excludes_sounding_range,exclusion_kind,missing_low_semitones,missing_high_semitones
bombo,Bass drum,bass_drum,True,D2,D2,1,"[28, 48]",28,48,28,48,0,struck_membrane,struck_membrane,struck|rolled,PASS,PASS,False,not_applicable_unpitched,0,0
caixa,Snare drum,,False,,,,,60,72,60,72,0,,,struck|rolled,NOT APPLICABLE,NOT APPLICABLE,True,no_table,,
celesta,Celesta,,False,,,,,60,96,65,88,0,,,struck,NOT APPLICABLE,NOT APPLICABLE,True,no_table,,
clarinete,Cl,clarinet,True,D3,C7,47,"[50, 96]",50,96,55,80,0,ordinary_sustain,ordinary_sustain,legato|staccato|flutter_tongue,PASS,PASS,False,full_coverage,0,0
clarinete_baixo,Bass clarinet,,False,,,,,34,72,40,65,14,,,legato|staccato,NOT APPLICABLE,NOT APPLICABLE,True,no_table,,
contrabaixo,Db,double_bass,True,E1,C5,45,"[28, 72]",28,72,31,55,0,arco_sustain,arco_sustain,arco|pizzicato|tremolo|harmonic|mute,PASS,PASS,False,full_coverage,0,0
contrabaixo_sordina,Double bass sordina,double_bass_sordina,True,E1,C5,45,"[28, 72]",28,72,31,55,0,arco_sordina,arco_sordina,arco|mute,PASS,PASS,False,full_coverage,0,0
contrabaixo_sul_ponticello,Double bass sul ponticello,double_bass_sul_ponticello,True,E1,C5,45,"[28, 72]",28,72,31,55,0,arco_sul_ponticello,arco_sul_ponticello,arco|sul_ponticello,PASS,PASS,False,full_coverage,0,0
contrabaixo_sul_tasto,Double bass sul tasto,double_bass_sul_tasto,True,E1,C5,45,"[28, 72]",28,72,31,55,0,arco_sul_tasto,arco_sul_tasto,arco|sul_tasto,PASS,PASS,False,full_coverage,0,0
contrafagote,Contrabassoon,,False,,,,,22,77,28,65,0,,,arco,NOT APPLICABLE,NOT APPLICABLE,True,no_table,,
cor_anglais,English horn,,False,,,,,52,76,55,72,7,,,legato|staccato,NOT APPLICABLE,NOT APPLICABLE,True,no_table,,
