scenario_id,notes,instruments,quantities,register,p_value,old_mp_value,new_mp_value,mf_value,f_value,pp_value,ff_value,pipeline_mp_value,old_warning,new_warning,diff_from_mf_anchor,method,provenance
violin_solo_low,['A#3'],['violino'],[1],low,30.21289317728681,32.194271,31.11824583668694,32.194271,35.319733290497666,28.838925,38.719126,31.118245778962997,Unknown dynamic 'mp' at event evt_0; mapped to 'mf' for instrument density.,,-1.0760251633130622,GPR coordinate 4.5,modelled_gpr
violin_solo_middle,['D4'],['violino'],[1],middle,30.61385858498175,34.381636,32.6578957592823,34.381636,36.297047263841634,26.133791,36.879891,32.65789575251575,Unknown dynamic 'mp' at event evt_0; mapped to 'mf' for instrument density.,,-1.723740240717703,GPR coordinate 4.5,modelled_gpr
violin_solo_high,['G7'],['violino'],[1],high,5.634945373534946,6.365012,6.062861021699534,6.365012,5.828135842649991,4.46921,4.816325,6.062861081655455,Unknown dynamic 'mp' at event evt_0; mapped to 'mf' for instrument density.,,-0.30215097830046656,GPR coordinate 4.5,modelled_gpr
viola_solo_low,['A#3'],['viola'],[1],low,24.193357491862535,25.057078,24.61107995182729,25.057078,26.81031580120012,23.650212,28.74837,24.61107995230255,Unknown dynamic 'mp' at event evt_0; mapped to 'mf' for instrument density.,,-0.4459980481727115,GPR coordinate 4.5,modelled_gpr
viola_solo_middle,['D#6'],['viola'],[1],middle,7.025067280469827,6.505312,7.025067293645085,6.505312,7.025067288898233,7.282524,7.301591,7.025067282983855,Unknown dynamic 'mp' at event evt_0; mapped to 'mf' for instrument density.,,0.5197552936450851,GPR coordinate 4.5,modelled_gpr
viola_solo_high,['G6'],['viola'],[1],high,4.974473114666692,5.401213,5.122344078884575,5.401213,5.519794150585804,4.528296,5.763935,5.122344079466716,Unknown dynamic 'mp' at event evt_0; mapped to 'mf' for instrument density.,,-0.27886892111542494,GPR coordinate 4.5,modelled_gpr
cello_solo_low,['A#2'],['violoncelo'],[1],low,45.21288376187424,44.172545,44.21950161038652,44.172545,47.66330544442954,48.225637,52.814275,44.21950161038652,Unknown dynamic 'mp' at event evt_0; mapped to 'mf' for instrument density.,,0.04695661038652332,GPR coordinate 4.5,modelled_gpr
cello_solo_middle,['D#5'],['violoncelo'],[1],middle,13.103679445393595,13.102937,13.035155905430798,13.102937,12.39895999265587,13.025811,11.628465,13.035155908207757,Unknown dynamic 'mp' at event evt_0; mapped to 'mf' for instrument density.,,-0.06778109456920234,GPR coordinate 4.5,modelled_gpr
cello_solo_high,['G5'],['violoncelo'],[1],high,12.685445209771016,12.544536,12.67249437195339,12.544536,11.326929233223439,12.291407,9.737352,12.67249437195339,Unknown dynamic 'mp' at event evt_0; mapped to 'mf' for instrument density.,,0.12795837195338855,GPR coordinate 4.5,modelled_gpr
double_bass_solo_low,['A#1'],['contrabaixo'],[1],low,48.66913054237869,55.597516,52.43193776090284,55.597516,59.370069432931125,40.561869,60.707733,52.431937836175976,Unknown dynamic 'mp' at event evt_0; mapped to 'mf' for instrument density.,,-3.165578239097158,GPR coordinate 4.5,modelled_gpr
double_bass_solo_middle,['D2'],['contrabaixo'],[1],middle,35.120898109793956,34.144331,34.33470721552285,34.144331,36.1839220489361,37.378471,39.381996,34.334707206009774,Unknown dynamic 'mp' at event evt_0; mapped to 'mf' for instrument density.,,0.19037621552284634,GPR coordinate 4.5,modelled_gpr
double_bass_solo_high,['G4'],['contrabaixo'],[1],high,14.084144046911527,12.457552,12.68094509521754,12.457552,16.62728346419027,17.456604,21.847957,12.680945065412146,Unknown dynamic 'mp' at event evt_0; mapped to 'mf' for instrument density.,,0.22339309521754025,GPR coordinate 4.5,modelled_gpr
string_quartet_middle,"['D4', 'D#6', 'D#5', 'D2']","['violino', 'viola', 'violoncelo', 'contrabaixo']","[1, 1, 1, 1]",middle,30.613858588935155,34.381636,32.657895761738445,34.381636,36.29704734720378,26.133791,36.879891,32.657895770849336,Unknown dynamic 'mp' at event evt_0; mapped to 'mf' for instrument density.,,-1.7237402382615556,GPR coordinate 4.5,modelled_gpr
violin_section_qty3,['G4'],['violino'],[3],middle,27.486144373545702,28.582867,27.998855707705125,28.582867,28.96616655510541,26.244,29.160595,27.998855693320042,Unknown dynamic 'mp' at event evt_0; mapped to 'mf' for instrument density.,,-0.5840112922948748,GPR coordinate 4.5,modelled_gpr
cello_low_register_mass,['A#2'],['violoncelo'],[4],low,45.21288385605655,44.172545,44.21950161038652,44.172545,47.663305276372895,48.225637,52.814275,44.21950161038652,Unknown dynamic 'mp' at event evt_0; mapped to 'mf' for instrument density.,,0.04695661038652332,GPR coordinate 4.5,modelled_gpr
